unique_old,num_old,unique_new,num_new
10q23.31,del_inter_1,10q23.31,del_inter_1
10q26.3,del_inter_2,10q26.3,del_inter_2
11p15.4,del_inter_3,11p15.4,del_inter_3
11q25,del_inter_4,11q25,del_inter_4
12p13.2,del_inter_5,12p13.1,del_inter_5
12q13.12,del_inter_6,12q13.2,del_inter_6
13q13.1,del_inter_7,13q11,del_inter_7
13q14.2,del_inter_8,13q14.11,del_inter_8
14q11.2,del_inter_9,14q11.2,del_inter_9
14q32.33,del_inter_10,14q32.33,del_inter_10
15q12,del_inter_11,15q12,del_inter_11
15q15.1,del_inter_12,15q15.1,del_inter_12
16q24.3,del_inter_13,16q24.3,del_inter_13
17p11.2,del_inter_14,17q11.2,del_inter_14
17p13.3,del_inter_15,17p13.3,del_inter_15
18q21.33,del_inter_16,18q23,del_inter_16
19p13.3,del_inter_17,19p13.3,del_inter_17
1p36.22,del_inter_18,1p36.13,del_inter_18
20p13,del_inter_19,20p13,del_inter_19
22q13.1,del_inter_20,22q13.2,del_inter_20
3p21.2,del_inter_21,3p21.2,del_inter_21
4p16.3,del_inter_22,4p16.3,del_inter_22
4q31.3,del_inter_23,4q31.3,del_inter_23
4q35.1,del_inter_24,4q35.2,del_inter_24
5q12.1,del_inter_25,5q13.1,del_inter_25
6p25.3,del_inter_26,6p25.3,del_inter_26
6q25.3,del_inter_27,6q25.3,del_inter_27
7p22.2,del_inter_28,7p22.1,del_inter_28
7q36.3,del_inter_29,7q36.1,del_inter_29
9p21.3,del_inter_30,9p21.3,del_inter_30
10q11.21,del_old1,12q24.33,del_new1
Xp22.2,del_old2,17q25.3,del_new2
Xq28,del_old3,1p35.2,del_inter_33
10q25.2,del_old4,1q21.1,del_new4
11q13.2,del_old5,20q13.33,del_inter_31
12q22,del_old6,2q14.3,del_new6
15q13.3,del_old7,2q37.1,del_inter_32
16p13.3,del_old8,4p15.2,del_inter_34
16p13.3,del_old9,7q11.23,del_new9
16q13,del_old10,8p21.3,del_inter_35
17p13.1,del_old11,8q24.3,del_new11
17q12,del_old12,9q13,del_new12
19p13.2,del_old13,9q34.3,del_inter_36
19q13.43,del_old14,,
1p13.3,del_old15,,
1p36.32,del_inter_33,,
20q13.12,del_inter_31,,
2q37.3,del_inter_32,,
3p26.3,del_old19,,
4p14,del_inter_34,,
5q11.1,del_old21,,
5q21.1,del_old22,,
8p21.2,del_inter_35,,
8p23.1,del_old24,,
9p24.2,del_old25,,
9q34.11,del_inter_36,,
22q12.1,del_old27,,
